기간,자치구,토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별)
기간,자치구,합계,전,답,과수원,목장용지,임야,대지,공장용지,학교용지,주차장,주유소용지,창고용지,도로,철도용지,하천,제방,구거,유지,수도용지,공원,체육용지,유원지,종교용지,사적지,묘지,잡종지
2017,합계,"605,242,807","10,814,802","11,839,242","307,415",388,"139,957,858","218,594,276","2,939,243","24,426,922","1,124,902","571,253","106,335","78,814,734","7,159,981","52,194,690","3,838,707","3,535,271","1,481,054","1,583,592","21,394,635","1,469,702","230,014","2,322,192","1,582,322","2,341,296","16,611,981"
2017,종로구,"23,912,788","821,876",-,-,-,"9,372,080","8,176,048",-,"907,969","22,247","6,737",-,"2,370,386",933,"281,284","10,947","170,815",-,85,"309,831",-,-,"101,877","1,244,657","11,001","104,017"
2017,중구,"9,959,792",-,-,-,-,"1,291,056","5,292,421","4,360","393,799","26,546","7,647",-,"2,146,272","125,731","29,443",-,"14,795",-,"29,588","446,160","25,315",-,"111,972","7,519",-,"7,168"
2017,용산구,"21,866,466","60,663",-,-,-,"1,605,057","10,065,272",-,"521,877","18,909","9,765","3,181","2,477,211","1,236,430","4,776,817","155,993","97,394","44,896",402,"112,810",485,-,"87,601","1,581","43,594","546,529"
2017,성동구,"16,856,985","181,834","22,417",-,-,"262,302","6,260,305","476,543","946,583","10,163","4,420","11,045","2,240,206","296,347","3,776,403","356,285","88,329","99,371","262,320","529,312","22,068","195,997","70,093",-,"12,165","732,478"
2017,광진구,"17,063,242","27,059","11,122",-,-,"2,482,436","6,992,780",91,"1,059,376","17,853","21,237",-,"2,490,293","3,221","2,524,435","172,645","69,038","37,065","289,069","720,967","36,739",-,"53,515",-,"8,367","45,935"
2017,동대문구,"14,215,008","46,533","15,687",-,-,"733,459","7,799,020","3,910","1,315,708","7,585","18,108",-,"2,638,941","423,774","574,241","139,591","81,422","4,324",724,"294,762","5,826",-,"86,709",-,"8,177","16,509"
2017,중랑구,"18,495,350","453,496","203,759","235,150",-,"2,765,578","6,933,165","4,235","648,734","90,289","18,993","7,681","2,729,513","415,061","908,518","170,716","175,081","73,119","3,958","988,890",-,-,"83,626",-,"1,413,631","172,158"
2017,성북구,"24,573,192","64,810","55,798",-,-,"8,131,216","10,245,089",-,"1,623,351","11,352","27,278","1,661","2,730,816","141,756","539,366","33,528","153,496","1,434","6,103","508,307",-,-,"187,283","2,694","53,874","53,979"
2017,강북구,"23,600,563","73,070","31,576",-,-,"12,785,361","6,607,764","4,290","552,284","25,471","18,082",192,"1,996,879",-,"332,303",65,"87,580","2,092","22,944","726,024",-,"9,716","153,953",-,"74,183","96,734"
2017,도봉구,"20,668,257","233,206","140,404","25,546",-,"9,645,649","6,158,181","29,116","697,636","90,997","19,808","5,252","2,071,679","178,088","475,072","15,288","178,461",21,403,"505,554","61,527",-,"56,207",-,"4,224","75,939"
2017,노원구,"35,437,909","214,557","188,987","17,574",-,"15,474,210","9,259,543","3,088","2,494,090","25,411","25,539","3,103","2,801,217","641,786","1,113,232","126,642","108,951","39,268","92,668","729,009","640,310",-,"124,711",-,"17,441","1,296,573"
2017,은평구,"29,709,360","567,669","444,002",-,-,"13,483,205","9,668,965","2,568","638,406","66,726","22,213",-,"2,890,308","163,455","497,612",737,"280,168","2,792","35,946","538,367","5,104",-,"120,078","1,081","25,537","254,423"
2017,서대문구,"17,626,255","79,466","4,581",-,-,"4,669,678","7,175,221",-,"2,192,294","19,364","10,400",-,"2,163,469","210,619","435,978","3,061","72,308",-,"22,799","422,222",-,-,"70,369",119,"56,643","17,665"
2017,마포구,"23,852,112","313,924","107,040",-,-,"380,951","8,577,145","17,025","706,252","39,473","12,051",-,"3,471,522","573,972","5,755,138","222,786","90,653","88,218","10,150","2,723,115",-,"6,502","84,962",-,"10,463","660,770"
2017,양천구,"17,406,812","101,900","13,740",-,-,"1,094,628","8,655,357","6,885","791,657","180,165","40,338",-,"3,105,446","235,511","446,846","210,260","198,856","149,046","38,586","1,724,849","146,917",-,"80,519",-,974,"184,332"
2017,강서구,"41,436,826","1,307,057","5,335,658","21,142",-,"2,773,493","10,454,829","166,245","917,083","106,631","49,512","15,474","3,993,816","416,631","3,703,376","599,795","670,131","189,911","1,421","1,231,928","39,316",-,"99,305","3,719","16,053","9,324,300"
2017,구로구,"20,119,954","494,714","361,631",-,-,"3,056,002","8,260,637","586,804","809,988","29,014","24,332","7,220","2,848,837","936,419","968,507","67,389","292,987","101,146","27,073","857,668","1,125",-,"104,896",-,"14,246","269,320"
2017,금천구,"13,020,164","42,506","21,894",-,-,"2,742,392","5,016,366","1,297,276","357,114","16,640","15,924","16,326","2,021,538","213,743","620,365","116,769","43,882","44,541","53,981","238,677","21,949",-,"29,973",-,934,"87,373"
2017,영등포구,"24,548,177","31,025","38,162",-,-,"66,821","9,472,110","324,179","536,526","41,347","11,878","15,119","4,270,918","257,718","8,077,596","314,714","27,278","109,722","92,857","616,952","16,498",-,"187,551",-,131,"39,076"
2017,동작구,"16,354,213","34,001","31,983",-,-,"2,411,926","7,852,066",782,"977,826","14,996","10,748",-,"2,348,026","144,739","639,608","9,386","69,504",713,"141,575","971,390","1,714",-,"111,124",-,"513,989","68,119"
2017,관악구,"29,568,849","125,417","57,925",-,-,"16,101,539","8,200,851",-,"937,666","17,701","13,969",-,"2,607,617",-,"546,124","15,640","114,797",-,"37,545","610,234","10,486",-,"79,250",-,26,"92,062"
2017,서초구,"46,985,554","2,283,604","1,814,189","5,333",388,"17,960,473","12,863,148",-,"908,895","28,468","52,283","2,218","6,262,608","2,338","2,487,329","217,285","302,141","83,684","72,009","867,846","1,983",-,"33,648",-,"18,530","717,156"
2017,강남구,"39,501,152","866,744","1,080,528",-,-,"6,076,431","16,005,702","8,331","1,477,403","54,835","66,436",829,"6,694,890","218,425","4,026,907","114,956","53,728","101,946","22,898","1,472,681","6,908",-,"157,852",-,"30,558","962,166"
2017,송파구,"33,874,855","823,101","916,191",-,-,"1,659,373","13,759,403",-,"1,293,844","102,213","34,702","15,065","5,819,406","64,648","5,345,337","425,614","53,705","264,642","7,100","2,174,378","421,953","17,799","23,087","223,149","2,516","427,628"
2017,강동구,"24,588,972","1,566,571","941,968","2,670",-,"2,932,542","8,842,890","3,514","720,564","60,507","28,855","1,969","3,622,923","258,637","3,312,854","338,617","39,774","43,102","311,388","1,072,702","3,480",-,"22,031","97,803","4,039","359,574"
